FieldID,Description
f.eid,ID
f.19.0.0,Heel ultrasound method
f.21.0.0,Weight method
f.23.0.0,Spirometry method
f.31.0.0,Sex
f.33.0.0,Date of birth
f.34.0.0,Year of birth
f.35.0.0,Was blood sampling attempted
f.46.0.0,Hand grip strength (left)
f.47.0.0,Hand grip strength (right)
f.48.0.0,Waist circumference
f.49.0.0,Hip circumference
f.50.0.0,Standing height
f.51.0.0,Seated height
f.52.0.0,Month of birth
f.53.0.0,Date of attending assessment centre
f.54.0.0,UK Biobank assessment centre
f.55.0.0,Month of attending assessment centre
f.62.0.0,Willing to attempt cognitive tests
f.68.0.0,Number of blood samples taken
f.74.0.0,Fasting time
f.77.0.0,"Heel bone ultrasound T-score, manual entry"
f.78.0.0,"Heel bone mineral density (BMD) T-score, automated"
f.84.0.0,Cancer year/age first occurred
f.87.0.0,Non-cancer illness year/age first occurred
f.92.0.0,Operation year/age first occurred
f.93.0.0,"Systolic blood pressure, manual reading"
f.94.0.0,"Diastolic blood pressure, manual reading"
f.95.0.0,Pulse rate (during blood-pressure measurement)
f.102.0.0,"Pulse rate, automated reading"
f.111.0.0,Aide-memoire completed
f.115.0.0,Father's month of birth
f.117.0.0,Mother's month of birth
f.118.0.0,Mother's day of birth
f.120.0.0,Birth weight known
f.129.0.0,Place of birth in UK - north co-ordinate
f.130.0.0,Place of birth in UK - east co-ordinate
f.132.0.0,Job code at visit - entered
f.134.0.0,Number of self-reported cancers
f.135.0.0,Number of self-reported non-cancer illnesses
f.136.0.0,"Number of operations, self-reported"
f.137.0.0,Number of treatments/medications taken
f.146.0.0,Father's day of birth
f.190.0.0,Reason lost to follow-up
f.191.0.0,Date lost to follow-up
f.200.0.0,Date of consenting to join UK Biobank
f.396.0.0,Number of columns displayed in round
f.397.0.0,Number of rows displayed in round
f.398.0.0,Number of correct matches in round
f.399.0.0,Number of incorrect matches in round
f.400.0.0,Time to complete round
f.401.0.0,Index for card A in round
f.402.0.0,Index for card B in round
f.403.0.0,Number of times snap-button pressed
f.404.0.0,Duration to first press of snap-button in each round
f.670.0.0,Type of accommodation lived in
f.680.0.0,Own or rent accommodation lived in
f.699.0.0,Length of time at current address
f.709.0.0,Number in household
f.728.0.0,Number of vehicles in household
f.738.0.0,Average total household income before tax
f.757.0.0,Time employed in main current job
f.767.0.0,Length of working week for main job
f.777.0.0,Frequency of travelling from home to job workplace
f.796.0.0,Distance between home and job workplace
f.806.0.0,Job involves mainly walking or standing
f.816.0.0,Job involves heavy manual or physical work
f.826.0.0,Job involves shift work
f.845.0.0,Age completed full time education
f.864.0.0,Number of days/week walked 10+ minutes
f.874.0.0,Duration of walks
f.884.0.0,Number of days/week of moderate physical activity 10+ minutes
f.894.0.0,Duration of moderate activity
f.904.0.0,Number of days/week of vigorous physical activity 10+ minutes
f.914.0.0,Duration of vigorous activity
f.924.0.0,Usual walking pace
f.943.0.0,Frequency of stair climbing in last 4 weeks
f.971.0.0,Frequency of walking for pleasure in last 4 weeks
f.981.0.0,Duration walking for pleasure
f.991.0.0,Frequency of strenuous sports in last 4 weeks
f.1001.0.0,Duration of strenuous sports
f.1011.0.0,Frequency of light DIY in last 4 weeks
f.1021.0.0,Duration of light DIY
f.1031.0.0,Frequency of friend/family visits
f.1050.0.0,Time spend outdoors in summer
f.1060.0.0,Time spent outdoors in winter
f.1070.0.0,Time spent watching television (TV)
f.1080.0.0,Time spent using computer
f.1090.0.0,Time spent driving
f.1100.0.0,Drive faster than motorway speed limit
f.1110.0.0,Length of mobile phone use
f.1120.0.0,Weekly usage of mobile phone in last 3 months
f.1130.0.0,Hands-free device/speakerphone use with mobile phone in last 3 month
f.1140.0.0,Difference in mobile phone use compared to two years previously
f.1150.0.0,Usual side of head for mobile phone use
f.1160.0.0,Sleep duration
f.1170.0.0,Getting up in morning
f.1180.0.0,Morning/evening person (chronotype)
f.1190.0.0,Nap during day
f.1200.0.0,Sleeplessness / insomnia
f.1210.0.0,Snoring
f.1220.0.0,Daytime dozing / sleeping
f.1239.0.0,Current tobacco smoking
f.1249.0.0,Past tobacco smoking
f.1259.0.0,Smoking/smokers in household
f.1269.0.0,Exposure to tobacco smoke at home
f.1279.0.0,Exposure to tobacco smoke outside home
f.1289.0.0,Cooked vegetable intake
f.1299.0.0,Salad / raw vegetable intake
f.1309.0.0,Fresh fruit intake
f.1319.0.0,Dried fruit intake
f.1329.0.0,Oily fish intake
f.1339.0.0,Non-oily fish intake
f.1349.0.0,Processed meat intake
f.1359.0.0,Poultry intake
f.1369.0.0,Beef intake
f.1379.0.0,Lamb/mutton intake
f.1389.0.0,Pork intake
f.1408.0.0,Cheese intake
f.1418.0.0,Milk type used
f.1428.0.0,Spread type
f.1438.0.0,Bread intake
f.1448.0.0,Bread type
f.1458.0.0,Cereal intake
f.1468.0.0,Cereal type
f.1478.0.0,Salt added to food
f.1488.0.0,Tea intake
f.1498.0.0,Coffee intake
f.1508.0.0,Coffee type
f.1518.0.0,Hot drink temperature
f.1528.0.0,Water intake
f.1538.0.0,Major dietary changes in the last 5 years
f.1548.0.0,Variation in diet
f.1558.0.0,Alcohol intake frequency.
f.1568.0.0,Average weekly red wine intake
f.1578.0.0,Average weekly champagne plus white wine intake
f.1588.0.0,Average weekly beer plus cider intake
f.1598.0.0,Average weekly spirits intake
f.1608.0.0,Average weekly fortified wine intake
f.1618.0.0,Alcohol usually taken with meals
f.1628.0.0,Alcohol intake versus 10 years previously
f.1647.0.0,Country of birth (UK/elsewhere)
f.1677.0.0,Breastfed as a baby
f.1687.0.0,Comparative body size at age 10
f.1697.0.0,Comparative height size at age 10
f.1707.0.0,Handedness (chirality/laterality)
f.1717.0.0,Skin colour
f.1727.0.0,Ease of skin tanning
f.1737.0.0,Childhood sunburn occasions
f.1747.0.0,"Hair colour (natural, before greying)"
f.1757.0.0,Facial ageing
f.1767.0.0,Adopted as a child
f.1777.0.0,Part of a multiple birth
f.1787.0.0,Maternal smoking around birth
f.1797.0.0,Father still alive
f.1807.0.0,Father's age at death
f.1835.0.0,Mother still alive
f.1845.0.0,Mother's age
f.1873.0.0,Number of full brothers
f.1883.0.0,Number of full sisters
f.1920.0.0,Mood swings
f.1930.0.0,Miserableness
f.1940.0.0,Irritability
f.1950.0.0,Sensitivity / hurt feelings
f.1960.0.0,Fed-up feelings
f.1970.0.0,Nervous feelings
f.1980.0.0,Worrier / anxious feelings
f.1990.0.0,Tense / 'highly strung'
f.2000.0.0,Worry too long after embarrassment
f.2010.0.0,Suffer from 'nerves'
f.2020.0.0,"Loneliness, isolation"
f.2030.0.0,Guilty feelings
f.2040.0.0,Risk taking
f.2050.0.0,Frequency of depressed mood in last 2 weeks
f.2060.0.0,Frequency of unenthusiasm / disinterest in last 2 weeks
f.2070.0.0,Frequency of tenseness / restlessness in last 2 weeks
f.2080.0.0,Frequency of tiredness / lethargy in last 2 weeks
f.2090.0.0,"Seen doctor (GP) for nerves, anxiety, tension or depression"
f.2100.0.0,"Seen a psychiatrist for nerves, anxiety, tension or depression"
f.2110.0.0,Able to confide
f.2129.0.0,Answered sexual history questions
f.2139.0.0,Age first had sexual intercourse
f.2149.0.0,Lifetime number of sexual partners
f.2159.0.0,Ever had same-sex intercourse
f.2178.0.0,Overall health rating
f.2188.0.0,"Long-standing illness, disability or infirmity"
f.2207.0.0,Wears glasses or contact lenses
f.2217.0.0,Age started wearing glasses or contact lenses
f.2227.0.0,Other eye problems
f.2237.0.0,Plays computer games
f.2247.0.0,Hearing difficulty/problems
f.2257.0.0,Hearing difficulty/problems with background noise
f.2267.0.0,Use of sun/uv protection
f.2277.0.0,Frequency of solarium/sunlamp use
f.2296.0.0,Falls in the last year
f.2306.0.0,Weight change compared with 1 year ago
f.2316.0.0,Wheeze or whistling in the chest in last year
f.2335.0.0,Chest pain or discomfort
f.2345.0.0,Ever had bowel cancer screening
f.2355.0.0,Most recent bowel cancer screening
f.2365.0.0,Ever had prostate specific antigen (PSA) test
f.2375.0.0,Relative age of first facial hair
f.2385.0.0,Relative age voice broke
f.2395.0.0,Hair/balding pattern
f.2405.0.0,Number of children fathered
f.2415.0.0,Had major operations
f.2443.0.0,Diabetes diagnosed by doctor
f.2453.0.0,Cancer diagnosed by doctor
f.2463.0.0,Fractured/broken bones in last 5 years
f.2473.0.0,Other serious medical condition/disability diagnosed by doctor
f.2492.0.0,Taking other prescription medications
f.2624.0.0,Frequency of heavy DIY in last 4 weeks
f.2634.0.0,Duration of heavy DIY
f.2644.0.0,"Light smokers, at least 100 smokes in lifetime"
f.2654.0.0,Non-butter spread type details
f.2664.0.0,Reason for reducing amount of alcohol drunk
f.2674.0.0,Ever had breast cancer screening / mammogram
f.2684.0.0,Years since last breast cancer screening / mammogram
f.2694.0.0,Ever had cervical smear test
f.2704.0.0,Years since last cervical smear test
f.2714.0.0,Age when periods started (menarche)
f.2724.0.0,Had menopause
f.2734.0.0,Number of live births
f.2744.0.0,Birth weight of first child
f.2754.0.0,Age at first live birth
f.2764.0.0,Age at last live birth
f.2774.0.0,"Ever had stillbirth, spontaneous miscarriage or termination"
f.2784.0.0,Ever taken oral contraceptive pill
f.2794.0.0,Age started oral contraceptive pill
f.2804.0.0,Age when last used oral contraceptive pill
f.2814.0.0,Ever used hormone-replacement therapy (HRT)
f.2824.0.0,Age at hysterectomy
f.2834.0.0,Bilateral oophorectomy (both ovaries removed)
f.2844.0.0,Had other major operations
f.2867.0.0,Age started smoking in former smokers
f.2877.0.0,Type of tobacco previously smoked
f.2887.0.0,Number of cigarettes previously smoked daily
f.2897.0.0,Age stopped smoking
f.2907.0.0,Ever stopped smoking for 6+ months
